game_week_day,game_date,game_year,game_time,visitor,visitor_pts,home,home_pts,overtime,att,season,game_month,game_day,game_month_number,original_date,reschedule_type,reschedule,day_difference,final_date,NewReschedule,partidos
Thu,2021-04-01,2021,8:00p,Golden State Warriors,109,Miami Heat,116,,0,2020/2021,Apr,1,4,2021-04-01,,0.0,,2021-04-01,,2
Sun,2021-04-04,2021,7:30p,Golden State Warriors,111,Atlanta Hawks,117,,2937,2020/2021,Apr,4,4,2021-04-01,,0.0,,2021-04-04,,2
