game_week_day,game_date,game_year,game_time,visitor,visitor_pts,home,home_pts,overtime,att,season,game_month,game_day,game_month_number,original_date,reschedule_type,reschedule,day_difference,final_date,NewReschedule,partidos
Sat,2021-03-13,2021,7:00p,Toronto Raptors,104,Charlotte Hornets,114,,2861,2020/2021,Mar,13,3,2021-03-12,,0.0,,2021-03-13,,2
Mon,2021-05-16,2021,9:00p,Toronto Raptors,99,Houston Rockets,117,,2965,2020/2021,Mar,22,3,2021-05-19,,1.0,100.0,2021-03-22,1.0,2
