game_week_day,game_date,game_year,game_time,visitor,visitor_pts,home,home_pts,overtime,att,season,game_month,game_day,game_month_number,original_date,reschedule_type,reschedule,day_difference,final_date,NewReschedule,partidos
Tue,2021-01-19,2021,9:00p,New Orleans Pelicans,102,Utah Jazz,118,,1932,2020/2021,Jan,19,1,2021-01-19,,0.0,,2021-01-19,,2
Thu,2021-03-18,2021,7:00p,Utah Jazz,122,Washington Wizards,131,,0,2020/2021,Mar,18,3,2021-05-28,covid,1.0,64.0,2021-03-18,,2
