game_week_day,game_date,game_year,game_time,visitor,visitor_pts,home,home_pts,overtime,att,season,game_month,game_day,game_month_number,original_date,reschedule_type,reschedule,day_difference,final_date,NewReschedule,partidos
Mon,2021-02-01,2021,8:00p,Sacramento Kings,118,New Orleans Pelicans,109,,1440,2020/2021,Feb,1,2,2021-02-01,,0.0,,2021-02-01,,2
Wed,2021-02-03,2021,9:30p,Phoenix Suns,101,New Orleans Pelicans,123,,1440,2020/2021,Feb,3,2,2021-02-01,,0.0,,2021-02-03,,2
Mon,2021-03-01,2021,8:00p,Utah Jazz,124,New Orleans Pelicans,129,,2700,2020/2021,Mar,1,3,2021-03-01,,0.0,,2021-03-01,,2
Wed,2021-03-03,2021,8:00p,Chicago Bulls,128,New Orleans Pelicans,124,,2700,2020/2021,Mar,3,3,2021-03-01,,0.0,,2021-03-03,,2
