game_week_day,game_date,game_year,game_time,visitor,visitor_pts,home,home_pts,overtime,att,season,game_month,game_day,game_month_number,original_date,reschedule_type,reschedule,day_difference,final_date,NewReschedule,partidos
Sat,2021-04-10,2021,10:00p,Detroit Pistons,103,Portland Trail Blazers,118,,0,2020/2021,Apr,10,4,2021-04-09,,0.0,,2021-04-10,,2
Fri,2021-04-23,2021,10:00p,Memphis Grizzlies,130,Portland Trail Blazers,128,,0,2020/2021,Apr,23,4,2021-05-28,covid,1.0,93.0,2021-04-23,,2
