game_week_day,game_date,game_year,game_time,visitor,visitor_pts,home,home_pts,overtime,att,season,game_month,game_day,game_month_number,original_date,reschedule_type,reschedule,day_difference,final_date,NewReschedule,partidos
Tue,2020-12-22,2020,10:00p,Los Angeles Clippers,116,Los Angeles Lakers,109,,0,2020/2021,Dec,22,12,2020-12-22,,0.0,,2020-12-22,,2
Fri,2021-03-12,2021,10:30p,Indiana Pacers,100,Los Angeles Lakers,105,,0,2020/2021,Mar,12,3,2021-03-12,,0.0,,2021-03-12,,2
Thu,2021-05-06,2021,10:00p,Los Angeles Lakers,94,Los Angeles Clippers,118,,3275,2020/2021,May,6,5,2021-05-06,,0.0,,2021-05-06,,2
Sat,2021-05-15,2021,1:00p,Los Angeles Lakers,122,Indiana Pacers,115,,0,2020/2021,May,15,5,2021-05-19,,0.0,,2021-05-15,,2
