game_week_day,game_date,game_year,game_time,visitor,visitor_pts,home,home_pts,overtime,att,season,game_month,game_day,game_month_number,original_date,reschedule_type,reschedule,day_difference,final_date,NewReschedule,partidos
Fri,2021-05-16,2021,9:00p,Orlando Magic,77,San Antonio Spurs,104,,3241,2020/2021,Mar,12,3,2021-05-20,,1.0,100.0,2021-03-12,1.0,2
Sun,2021-05-16,2021,2:00p,Phoenix Suns,123,San Antonio Spurs,121,,4738,2020/2021,May,16,5,2021-05-17,,0.0,,2021-05-16,,2
