game_week_day,game_date,game_year,game_time,visitor,visitor_pts,home,home_pts,overtime,att,season,game_month,game_day,game_month_number,original_date,reschedule_type,reschedule,day_difference,final_date,NewReschedule,partidos
Mon,2021-03-01,2021,8:00p,Denver Nuggets,118,Chicago Bulls,112,,0,2020/2021,Mar,1,3,2021-03-01,,0.0,,2021-03-01,,2
Wed,2021-03-03,2021,8:00p,Chicago Bulls,128,New Orleans Pelicans,124,,2700,2020/2021,Mar,3,3,2021-03-01,,0.0,,2021-03-03,,2
