game_week_day,game_date,game_year,game_time,visitor,visitor_pts,home,home_pts,overtime,att,season,game_month,game_day,game_month_number,original_date,reschedule_type,reschedule,day_difference,final_date,NewReschedule,partidos
Tue,2021-05-04,2021,8:00p,Sacramento Kings,103,Oklahoma City Thunder,99,,0,2020/2021,May,4,5,2021-05-05,,0.0,,2021-05-04,,2
Thu,2021-05-06,2021,10:00p,Oklahoma City Thunder,97,Golden State Warriors,118,,3621,2020/2021,May,6,5,2021-05-05,,0.0,,2021-05-06,,2
