Team,Distance,Schedule Type,League
Los Angeles Lakers,75579.45847675388,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Cleveland Cavaliers,51843.73718024445,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Indiana Pacers,56485.807876940176,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Orlando Magic,70091.29883043923,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Philadelphia 76ers,57106.06156964434,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Toronto Raptors,56061.62947294438,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Boston Celtics,88721.18587802866,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Chicago Bulls,60084.752740750766,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Memphis Grizzlies,55218.494166706456,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Minnesota Timberwolves,67435.80292328369,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Denver Nuggets,67789.52205776892,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Portland Trail Blazers,67635.32890641142,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Phoenix Suns,68329.1795181905,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Miami Heat,72503.27153092355,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Milwaukee Bucks,61358.72434322106,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Charlotte Hornets,49851.21247787254,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Detroit Pistons,54722.44003037419,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Washington Wizards,56948.98293345188,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
New York Knicks,59972.10187629982,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
San Antonio Spurs,61779.69109908096,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Utah Jazz,75499.88794316424,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Sacramento Kings,75416.61068514566,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Los Angeles Clippers,65279.40195977216,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
New Orleans Pelicans,67863.02150173877,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Atlanta Hawks,51285.321395313695,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Oklahoma City Thunder,55410.36114793893,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Dallas Mavericks,62967.26586177307,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Houston Rockets,68758.47874460138,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Golden State Warriors,71617.5839893849,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
all,1914382.2392851925,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Brooklyn Nets,61365.966134879294,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Los Angeles Lakers,75579.45847675388,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Cleveland Cavaliers,51843.73718024445,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Indiana Pacers,56485.807876940176,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Orlando Magic,70091.29883043923,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Philadelphia 76ers,57106.06156964434,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Toronto Raptors,56061.62947294438,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Boston Celtics,90296.38963842418,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Chicago Bulls,57681.37765806769,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Memphis Grizzlies,55218.494166706456,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Minnesota Timberwolves,67435.80292328369,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Denver Nuggets,67789.52205776892,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Portland Trail Blazers,67635.32890641142,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Phoenix Suns,68329.1795181905,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Miami Heat,72503.27153092355,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Milwaukee Bucks,61358.72434322106,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Charlotte Hornets,49320.77324683359,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Detroit Pistons,52779.27414565101,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Washington Wizards,55971.82360139412,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
New York Knicks,59972.10187629982,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
San Antonio Spurs,61779.69109908096,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Utah Jazz,75499.88794316424,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Sacramento Kings,75416.61068514566,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Los Angeles Clippers,65279.40195977216,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
New Orleans Pelicans,67863.02150173877,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Atlanta Hawks,56763.25303655616,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Oklahoma City Thunder,55410.36114793893,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Dallas Mavericks,61579.87239673661,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Houston Rockets,68758.47874460138,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Golden State Warriors,72352.13982803228,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
all,1915528.741497789,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Brooklyn Nets,59162.318596782985,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Los Angeles Lakers,72886.45956073755,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Cleveland Cavaliers,51843.73718024445,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Indiana Pacers,56485.807876940176,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Orlando Magic,70091.29883043923,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Philadelphia 76ers,57106.06156964434,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Toronto Raptors,56061.62947294438,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Boston Celtics,88642.1030578449,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Chicago Bulls,59025.92765252624,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Memphis Grizzlies,55760.10155325975,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Minnesota Timberwolves,67435.80292328369,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Denver Nuggets,67808.81717079337,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Portland Trail Blazers,67635.32890641142,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Phoenix Suns,70775.30456524454,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Miami Heat,72503.27153092355,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Milwaukee Bucks,61799.626008410836,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Charlotte Hornets,49588.25580376785,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Detroit Pistons,57890.17216492061,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Washington Wizards,55888.70768756957,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
New York Knicks,59972.10187629982,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
San Antonio Spurs,61779.69109908096,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Utah Jazz,73725.00393759437,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Sacramento Kings,78233.0553698557,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Los Angeles Clippers,65279.40195977216,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
New Orleans Pelicans,67863.02150173877,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Atlanta Hawks,51285.321395313695,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Oklahoma City Thunder,57313.30322258494,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Dallas Mavericks,61579.87239673661,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Houston Rockets,66809.84256892082,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Golden State Warriors,71617.5839893849,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
all,1913848.9314299722,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Brooklyn Nets,61706.7966862144,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Los Angeles Lakers,73622.50250683461,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Cleveland Cavaliers,51843.73718024445,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Indiana Pacers,55068.65756216731,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Orlando Magic,70631.52249380213,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Philadelphia 76ers,57106.06156964434,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Toronto Raptors,57413.659009396484,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Boston Celtics,88642.1030578449,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Chicago Bulls,58073.02487030519,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Memphis Grizzlies,55218.494166706456,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Minnesota Timberwolves,67435.80292328369,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Denver Nuggets,69512.12463705342,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Portland Trail Blazers,67635.32890641142,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Phoenix Suns,72144.46293970117,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Miami Heat,75357.02621214974,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Milwaukee Bucks,61799.626008410836,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Charlotte Hornets,49588.25580376785,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Detroit Pistons,63222.8432510993,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Washington Wizards,59079.20439406409,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
New York Knicks,59972.10187629982,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
San Antonio Spurs,66328.30872243157,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Utah Jazz,73716.30365734563,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Sacramento Kings,75416.61068514566,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Los Angeles Clippers,65279.40195977216,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
New Orleans Pelicans,64767.54807505551,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Atlanta Hawks,51285.321395313695,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Oklahoma City Thunder,57313.30322258494,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Dallas Mavericks,61579.87239673661,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Houston Rockets,69561.42031106236,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Golden State Warriors,71617.5839893849,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
all,1931939.0104702346,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Brooklyn Nets,61300.485134306,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Los Angeles Lakers,72886.45956073755,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Cleveland Cavaliers,51843.73718024445,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Indiana Pacers,56380.2033352017,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Orlando Magic,70091.29883043923,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Philadelphia 76ers,57106.06156964434,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Toronto Raptors,56061.62947294438,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Boston Celtics,88678.17180768609,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Chicago Bulls,57681.37765806769,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Memphis Grizzlies,55760.10155325975,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Minnesota Timberwolves,67435.80292328369,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Denver Nuggets,67808.81717079337,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Portland Trail Blazers,67635.32890641142,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Phoenix Suns,70358.36375537679,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Miami Heat,72503.27153092355,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Milwaukee Bucks,61799.626008410836,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Charlotte Hornets,49520.38049721599,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Detroit Pistons,55929.62859548186,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Washington Wizards,55971.82360139412,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
New York Knicks,59972.10187629982,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
San Antonio Spurs,61779.69109908096,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Utah Jazz,72335.92797616818,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Sacramento Kings,77429.07057651371,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Los Angeles Clippers,65279.40195977216,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
New Orleans Pelicans,67863.02150173877,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Atlanta Hawks,51285.321395313695,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Oklahoma City Thunder,57313.30322258494,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Dallas Mavericks,61579.87239673661,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Houston Rockets,66809.84256892082,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Golden State Warriors,72352.13982803228,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
all,1910752.263492985,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Brooklyn Nets,66150.09601040464,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Los Angeles Lakers,77042.27371823744,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Cleveland Cavaliers,52291.821519040976,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Indiana Pacers,59711.60841081915,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Orlando Magic,70091.29883043923,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Philadelphia 76ers,57106.06156964434,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Toronto Raptors,57413.659009396484,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Boston Celtics,86625.29463359492,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Chicago Bulls,55857.740461397596,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Memphis Grizzlies,55760.10155325975,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Minnesota Timberwolves,67435.80292328369,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Denver Nuggets,67808.81717079337,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Portland Trail Blazers,67846.24151927525,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Phoenix Suns,70571.95801875436,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Miami Heat,75357.02621214974,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Milwaukee Bucks,61799.626008410836,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Charlotte Hornets,49520.38049721599,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Detroit Pistons,59097.360730028275,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Washington Wizards,60404.75310596957,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
New York Knicks,67866.96948758964,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
San Antonio Spurs,66328.30872243157,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Utah Jazz,73716.30365734563,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Sacramento Kings,77429.07057651371,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Los Angeles Clippers,65279.40195977216,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
New Orleans Pelicans,64767.54807505551,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Atlanta Hawks,54689.80550486424,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Oklahoma City Thunder,57313.30322258494,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Dallas Mavericks,61579.87239673661,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Houston Rockets,67629.34846422315,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Golden State Warriors,72352.13982803228,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
all,1946843.993797265,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Brooklyn Nets,57860.66825181475,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Los Angeles Lakers,64527.6845592153,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Cleveland Cavaliers,51843.73718024445,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Indiana Pacers,55925.05257024185,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Orlando Magic,70091.29883043923,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Philadelphia 76ers,57106.06156964434,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Toronto Raptors,56061.62947294438,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Boston Celtics,65374.370035802945,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Chicago Bulls,56005.28341039955,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Memphis Grizzlies,55097.748061643884,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Minnesota Timberwolves,66262.8680798337,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Denver Nuggets,65047.947481392024,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Portland Trail Blazers,67173.56176447592,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Phoenix Suns,66466.70448698163,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Miami Heat,64429.04354682349,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Milwaukee Bucks,53540.45732735029,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Charlotte Hornets,49851.21247787254,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Detroit Pistons,53081.45051365825,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Washington Wizards,54125.87557031861,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
New York Knicks,59972.10187629982,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
San Antonio Spurs,61779.69109908096,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Utah Jazz,65358.64908515962,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Sacramento Kings,71877.18320681939,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Los Angeles Clippers,65279.40195977216,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
New Orleans Pelicans,64767.54807505551,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Atlanta Hawks,51285.321395313695,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Oklahoma City Thunder,53507.419073292935,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Dallas Mavericks,61579.87239673661,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Houston Rockets,65897.94773628825,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Golden State Warriors,71617.5839893849,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
all,1822795.3750843008,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Brooklyn Nets,59315.36104639384,min_date - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Los Angeles Lakers,64527.6845592153,min_date - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Cleveland Cavaliers,51843.73718024445,min_date - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Indiana Pacers,55925.05257024185,min_date - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Orlando Magic,70091.29883043923,min_date - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Philadelphia 76ers,57106.06156964434,min_date - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Toronto Raptors,56061.62947294438,min_date - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Boston Celtics,63829.40408164328,min_date - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Chicago Bulls,55278.81131605138,min_date - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Memphis Grizzlies,55097.748061643884,min_date - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Minnesota Timberwolves,66262.8680798337,min_date - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Denver Nuggets,65047.947481392024,min_date - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Portland Trail Blazers,67173.56176447592,min_date - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
