Anaheim Ducks,Arizona Coyotes,Atlanta Hawks,Balance 7-day rolling mean,Boston Bruins,Boston Celtics,Brooklyn Nets,Buffalo Sabres,Calgary Flames,Carolina Hurricanes,Charlotte Hornets,Chicago Blackhawks,Chicago Bulls,Cleveland Cavaliers,Colorado Avalanche,Columbus Blue Jackets,Dallas Mavericks,Dallas Stars,Day,Denver Nuggets,Detroit Pistons,Detroit Red Wings,Edmonton Oilers,Florida Panthers,Golden State Warriors,Houston Rockets,Indiana Pacers,League,Los Angeles Clippers,Los Angeles Kings,Los Angeles Lakers,Memphis Grizzlies,Miami Heat,Milwaukee Bucks,Minnesota Timberwolves,Minnesota Wild,Montreal Canadiens,Nashville Predators,New Jersey Devils,New Orleans Pelicans,New York Islanders,New York Knicks,New York Rangers,Oklahoma City Thunder,Orlando Magic,Ottawa Senators,Philadelphia 76ers,Philadelphia Flyers,Phoenix Suns,Pittsburgh Penguins,Portland Trail Blazers,Sacramento Kings,San Antonio Spurs,San Jose Sharks,Schedule Type,St. Louis Blues,Tampa Bay Lightning,Toronto Maple Leafs,Toronto Raptors,Utah Jazz,Vancouver Canucks,Vegas Golden Knights,Washington Capitals,Washington Wizards,Winnipeg Jets,diff,max,mode,Schedule
,,0.0,1.0,,0.0,1.0,,,,0.0,,0.0,0.0,,,0.0,,2020-12-22,0.0,0.0,,,,1.0,0.0,0.0,NBA,1.0,,1.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,Planned,,,,0.0,0.0,,,,0.0,,1,1,0,Planned
,,1.0,0.5,,1.0,1.0,,,,1.0,,1.0,1.0,,,1.0,,2020-12-23,1.0,1.0,,,,1.0,1.0,1.0,NBA,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,,Planned,,,,1.0,1.0,,,,1.0,,0,1,1,Planned
,,1.0,0.3333333333333333,,1.0,1.0,,,,1.0,,1.0,1.0,,,1.0,,2020-12-24,1.0,1.0,,,,1.0,1.0,1.0,NBA,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,,Planned,,,,1.0,1.0,,,,1.0,,0,1,1,Planned
,,1.0,0.5,,2.0,2.0,,,,1.0,,1.0,1.0,,,2.0,,2020-12-25,2.0,1.0,,,,2.0,1.0,1.0,NBA,2.0,,2.0,1.0,2.0,2.0,1.0,,,,,2.0,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,,Planned,,,,1.0,1.0,,,,1.0,,1,2,1,Planned
,,2.0,0.4,,2.0,2.0,,,,2.0,,2.0,2.0,,,2.0,,2020-12-26,2.0,2.0,,,,2.0,2.0,2.0,NBA,2.0,,2.0,2.0,2.0,2.0,2.0,,,,,2.0,,2.0,,2.0,2.0,,2.0,,2.0,,2.0,2.0,2.0,,Planned,,,,2.0,2.0,,,,2.0,,0,2,2,Planned
,,2.0,0.3333333333333333,,3.0,3.0,,,,3.0,,3.0,3.0,,,3.0,,2020-12-27,2.0,2.0,,,,3.0,2.0,3.0,NBA,3.0,,3.0,2.0,2.0,3.0,3.0,,,,,3.0,,3.0,,2.0,3.0,,3.0,,3.0,,2.0,3.0,3.0,,Planned,,,,2.0,2.0,,,,3.0,,0,3,3,Planned
,,3.0,0.4285714285714285,,3.0,4.0,,,,3.0,,3.0,3.0,,,3.0,,2020-12-28,3.0,3.0,,,,3.0,3.0,3.0,NBA,3.0,,4.0,3.0,2.0,3.0,3.0,,,,,3.0,,3.0,,3.0,3.0,,3.0,,3.0,,3.0,3.0,3.0,,Planned,,,,2.0,3.0,,,,3.0,,1,4,3,Planned
,,3.0,0.2857142857142857,,4.0,4.0,,,,3.0,,4.0,4.0,,,3.0,,2020-12-29,4.0,4.0,,,,4.0,3.0,4.0,NBA,4.0,,4.0,3.0,3.0,4.0,4.0,,,,,4.0,,4.0,,4.0,4.0,,4.0,,4.0,,3.0,4.0,3.0,,Planned,,,,3.0,3.0,,,,4.0,,0,4,4,Planned
,,4.0,0.4285714285714285,,5.0,5.0,,,,4.0,,4.0,4.0,,,4.0,,2020-12-30,4.0,4.0,,,,4.0,3.0,4.0,NBA,5.0,,5.0,4.0,4.0,5.0,4.0,,,,,4.0,,4.0,,4.0,4.0,,4.0,,4.0,,4.0,4.0,4.0,,Planned,,,,3.0,3.0,,,,4.0,,1,5,4,Planned
,,4.0,0.4285714285714285,,5.0,5.0,,,,4.0,,5.0,5.0,,,4.0,,2020-12-31,4.0,4.0,,,,4.0,4.0,5.0,NBA,5.0,,5.0,4.0,4.0,5.0,4.0,,,,,5.0,,5.0,,5.0,5.0,,5.0,,5.0,,4.0,5.0,4.0,,Planned,,,,4.0,4.0,,,,5.0,,0,5,5,Planned
,,5.0,0.4285714285714285,,6.0,6.0,,,,5.0,,6.0,5.0,,,5.0,,2021-01-01,5.0,5.0,,,,5.0,4.0,5.0,NBA,6.0,,6.0,5.0,5.0,6.0,5.0,,,,,5.0,,5.0,,5.0,5.0,,5.0,,6.0,,5.0,5.0,5.0,,Planned,,,,4.0,5.0,,,,6.0,,1,6,5,Planned
,,6.0,0.4285714285714285,,6.0,6.0,,,,6.0,,6.0,6.0,,,5.0,,2021-01-02,5.0,5.0,,,,5.0,5.0,6.0,NBA,6.0,,6.0,5.0,5.0,6.0,5.0,,,,,6.0,,6.0,,6.0,6.0,,6.0,,6.0,,5.0,6.0,5.0,,Planned,,,,5.0,5.0,,,,6.0,,0,6,6,Planned
,,6.0,0.5714285714285714,,7.0,7.0,,,,6.0,,7.0,6.0,,,6.0,,2021-01-03,6.0,6.0,,,,6.0,5.0,6.0,NBA,7.0,,7.0,6.0,5.0,6.0,6.0,,,,,6.0,,6.0,,6.0,6.0,,6.0,,7.0,,6.0,6.0,6.0,,Planned,,,,5.0,6.0,,,,7.0,,1,7,6,Planned
,,7.0,0.5714285714285714,,8.0,7.0,,,,7.0,,7.0,7.0,,,7.0,,2021-01-04,6.0,7.0,,,,7.0,6.0,7.0,NBA,7.0,,7.0,6.0,6.0,7.0,6.0,,,,,7.0,,7.0,,7.0,7.0,,7.0,,7.0,,6.0,7.0,6.0,,Planned,,,,6.0,6.0,,,,7.0,,1,8,7,Planned
,,7.0,0.7142857142857143,,8.0,8.0,,,,7.0,,8.0,7.0,,,7.0,,2021-01-05,7.0,7.0,,,,7.0,6.0,7.0,NBA,8.0,,8.0,7.0,6.0,7.0,7.0,,,,,7.0,,7.0,,7.0,7.0,,7.0,,7.0,,7.0,7.0,7.0,,Planned,,,,6.0,7.0,,,,7.0,,1,8,7,Planned
,,8.0,0.7142857142857143,,9.0,8.0,,,,8.0,,9.0,8.0,,,7.0,,2021-01-06,7.0,8.0,,,,8.0,7.0,8.0,NBA,9.0,,8.0,7.0,7.0,8.0,7.0,,,,,8.0,,8.0,,8.0,8.0,,8.0,,8.0,,7.0,8.0,7.0,,Planned,,,,7.0,8.0,,,,8.0,,1,9,8,Planned
,,8.0,0.8571428571428571,,9.0,9.0,,,,8.0,,9.0,9.0,,,8.0,,2021-01-07,8.0,8.0,,,,8.0,7.0,8.0,NBA,9.0,,9.0,8.0,7.0,8.0,8.0,,,,,8.0,,8.0,,8.0,8.0,,9.0,,8.0,,8.0,8.0,8.0,,Planned,,,,7.0,8.0,,,,8.0,,1,9,8,Planned
,,8.0,0.8571428571428571,,10.0,10.0,,,,9.0,,10.0,9.0,,,8.0,,2021-01-08,8.0,9.0,,,,9.0,8.0,8.0,NBA,10.0,,10.0,9.0,7.0,9.0,8.0,,,,,9.0,,9.0,,9.0,9.0,,9.0,,9.0,,8.0,9.0,8.0,,Planned,,,,8.0,9.0,,,,9.0,,1,10,9,Planned
