Team,Breaks,Schedule Type,League
Washington Capitals,37,Planned,NHL
Carolina Hurricanes,40,Planned,NHL
Montreal Canadiens,37,Planned,NHL
San Jose Sharks,39,Planned,NHL
all,1145,Planned,NHL
Colorado Avalanche,38,Actual,NHL
Edmonton Oilers,35,Actual,NHL
Philadelphia Flyers,33,Actual,NHL
Tampa Bay Lightning,35,Actual,NHL
Toronto Maple Leafs,31,Actual,NHL
Arizona Coyotes,41,Actual,NHL
Buffalo Sabres,37,Actual,NHL
Detroit Red Wings,37,Actual,NHL
Los Angeles Kings,39,Actual,NHL
New Jersey Devils,33,Actual,NHL
Nashville Predators,36,Actual,NHL
New York Rangers,35,Actual,NHL
Vegas Golden Knights,34,Actual,NHL
Winnipeg Jets,40,Actual,NHL
Ottawa Senators,39,Actual,NHL
Calgary Flames,36,Actual,NHL
Florida Panthers,42,Actual,NHL
Pittsburgh Penguins,39,Actual,NHL
Anaheim Ducks,30,Actual,NHL
New York Islanders,35,Actual,NHL
St. Louis Blues,37,Actual,NHL
Vancouver Canucks,41,Actual,NHL
Boston Bruins,39,Actual,NHL
Columbus Blue Jackets,37,Actual,NHL
Chicago Blackhawks,39,Actual,NHL
Dallas Stars,39,Actual,NHL
Minnesota Wild,40,Actual,NHL
Washington Capitals,37,Actual,NHL
Carolina Hurricanes,40,Actual,NHL
Montreal Canadiens,37,Actual,NHL
San Jose Sharks,41,Actual,NHL
all,1152,Actual,NHL
Brooklyn Nets,40,basic - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Los Angeles Lakers,47,basic - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Cleveland Cavaliers,43,basic - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Indiana Pacers,36,basic - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Orlando Magic,39,basic - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Philadelphia 76ers,40,basic - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Toronto Raptors,41,basic - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Boston Celtics,43,basic - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Chicago Bulls,37,basic - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Memphis Grizzlies,44,basic - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Minnesota Timberwolves,40,basic - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Denver Nuggets,41,basic - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Portland Trail Blazers,47,basic - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Phoenix Suns,43,basic - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Miami Heat,42,basic - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Milwaukee Bucks,45,basic - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Charlotte Hornets,41,basic - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Detroit Pistons,37,basic - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Washington Wizards,43,basic - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
New York Knicks,41,basic - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
San Antonio Spurs,45,basic - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Utah Jazz,42,basic - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Sacramento Kings,42,basic - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Los Angeles Clippers,46,basic - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
New Orleans Pelicans,44,basic - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Atlanta Hawks,39,basic - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Oklahoma City Thunder,47,basic - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Dallas Mavericks,40,basic - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Houston Rockets,41,basic - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Golden State Warriors,47,basic - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
all,1263,basic - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Brooklyn Nets,40,basic - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Los Angeles Lakers,47,basic - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Cleveland Cavaliers,43,basic - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Indiana Pacers,36,basic - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Orlando Magic,39,basic - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Philadelphia 76ers,40,basic - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Toronto Raptors,41,basic - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Boston Celtics,43,basic - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Chicago Bulls,39,basic - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Memphis Grizzlies,44,basic - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Minnesota Timberwolves,40,basic - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Denver Nuggets,39,basic - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Portland Trail Blazers,47,basic - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Phoenix Suns,43,basic - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Miami Heat,42,basic - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Milwaukee Bucks,45,basic - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Charlotte Hornets,42,basic - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Detroit Pistons,37,basic - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Washington Wizards,43,basic - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
New York Knicks,41,basic - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
San Antonio Spurs,45,basic - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Utah Jazz,42,basic - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Sacramento Kings,42,basic - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Los Angeles Clippers,46,basic - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
New Orleans Pelicans,44,basic - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Atlanta Hawks,39,basic - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Oklahoma City Thunder,47,basic - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Dallas Mavericks,41,basic - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Houston Rockets,41,basic - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Golden State Warriors,47,basic - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
all,1265,basic - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Brooklyn Nets,40,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Los Angeles Lakers,47,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Cleveland Cavaliers,43,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Indiana Pacers,36,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Orlando Magic,39,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Philadelphia 76ers,40,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Toronto Raptors,41,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Boston Celtics,43,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Chicago Bulls,37,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Memphis Grizzlies,44,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Minnesota Timberwolves,40,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Denver Nuggets,39,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Portland Trail Blazers,47,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Phoenix Suns,43,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Miami Heat,42,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Milwaukee Bucks,45,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Charlotte Hornets,40,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Detroit Pistons,35,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Washington Wizards,43,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
New York Knicks,41,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
San Antonio Spurs,45,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Utah Jazz,42,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Sacramento Kings,42,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Los Angeles Clippers,46,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
New Orleans Pelicans,44,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Atlanta Hawks,39,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Oklahoma City Thunder,47,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Dallas Mavericks,39,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Houston Rockets,41,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Golden State Warriors,47,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
all,1257,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Brooklyn Nets,40,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Los Angeles Lakers,47,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Cleveland Cavaliers,42,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Indiana Pacers,36,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Orlando Magic,39,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Philadelphia 76ers,38,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Toronto Raptors,41,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Boston Celtics,43,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Chicago Bulls,37,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Memphis Grizzlies,40,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Minnesota Timberwolves,40,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Denver Nuggets,39,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Portland Trail Blazers,47,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Phoenix Suns,43,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Miami Heat,42,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Milwaukee Bucks,43,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Charlotte Hornets,40,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Detroit Pistons,35,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Washington Wizards,46,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
New York Knicks,41,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
San Antonio Spurs,45,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Utah Jazz,42,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Sacramento Kings,42,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Los Angeles Clippers,46,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
New Orleans Pelicans,44,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Atlanta Hawks,39,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Oklahoma City Thunder,45,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Dallas Mavericks,39,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Houston Rockets,41,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Golden State Warriors,47,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
all,1249,basic - high - basic - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Brooklyn Nets,40,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Los Angeles Lakers,47,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Cleveland Cavaliers,44,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Indiana Pacers,36,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Orlando Magic,39,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Philadelphia 76ers,40,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Toronto Raptors,41,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Boston Celtics,43,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Chicago Bulls,39,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Memphis Grizzlies,44,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Minnesota Timberwolves,40,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Denver Nuggets,39,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Portland Trail Blazers,47,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Phoenix Suns,43,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Miami Heat,42,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Milwaukee Bucks,45,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Charlotte Hornets,42,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Detroit Pistons,37,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Washington Wizards,44,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
New York Knicks,41,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
San Antonio Spurs,45,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Utah Jazz,42,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Sacramento Kings,42,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Los Angeles Clippers,46,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
New Orleans Pelicans,44,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Atlanta Hawks,39,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Oklahoma City Thunder,47,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Dallas Mavericks,39,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Houston Rockets,41,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Golden State Warriors,47,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
all,1265,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Brooklyn Nets,40,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Los Angeles Lakers,47,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Cleveland Cavaliers,44,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Indiana Pacers,36,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Orlando Magic,39,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Philadelphia 76ers,40,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Toronto Raptors,41,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Boston Celtics,43,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Chicago Bulls,39,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Memphis Grizzlies,38,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Minnesota Timberwolves,40,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Denver Nuggets,39,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Portland Trail Blazers,47,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Phoenix Suns,43,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Miami Heat,42,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Milwaukee Bucks,45,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Charlotte Hornets,42,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Detroit Pistons,37,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Washington Wizards,44,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
New York Knicks,41,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
San Antonio Spurs,45,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Utah Jazz,42,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Sacramento Kings,42,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Los Angeles Clippers,46,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
New Orleans Pelicans,44,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Atlanta Hawks,39,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Oklahoma City Thunder,47,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Dallas Mavericks,39,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Houston Rockets,41,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Golden State Warriors,47,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
all,1259,basic - high - basic - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Brooklyn Nets,38,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Los Angeles Lakers,46,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Cleveland Cavaliers,43,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Indiana Pacers,35,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Orlando Magic,39,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Philadelphia 76ers,40,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Toronto Raptors,41,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Boston Celtics,43,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Chicago Bulls,39,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Memphis Grizzlies,43,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Minnesota Timberwolves,40,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Denver Nuggets,41,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Portland Trail Blazers,46,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Phoenix Suns,43,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Miami Heat,42,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Milwaukee Bucks,43,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Charlotte Hornets,43,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Detroit Pistons,36,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Washington Wizards,42,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
New York Knicks,41,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
San Antonio Spurs,45,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Utah Jazz,41,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Sacramento Kings,41,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Los Angeles Clippers,46,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
New Orleans Pelicans,43,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Atlanta Hawks,39,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Oklahoma City Thunder,48,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Dallas Mavericks,39,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Houston Rockets,39,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Golden State Warriors,47,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
all,1252,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Brooklyn Nets,39,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Los Angeles Lakers,46,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Cleveland Cavaliers,43,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Indiana Pacers,35,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
